"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11708131936700,"Crockeries Yc0005",0,0,,0,0
2,11708131934100,"Crockeries Yc000511",0,0,"Home Plus Own Collection",0,0
3,11708131934400,"Crockeries Yc000512",1250,1795,"Home Plus Own Collection",0,0
4,11708131934700,"Crockeries Yc000513",550,790,"Home Plus Own Collection",0,0
5,11708131934900,"Crockeries Yc000514",0,0,"Home Plus Own Collection",0,0
6,11708131935100,"Crockeries Yc000515",620,895,"Home Plus Own Collection",0,0
7,11708131935300,"Crockeries Yc000516",0,0,"Home Plus Own Collection",0,0
8,11708131935600,"Crockeries Yc000517",0,0,"Home Plus Own Collection",0,0
9,11708131936300,"Crockeries Yc000519",1380,1860,"Home Plus Own Collection",0,0
10,11708131936400,"Crockeries Yc000521",950,1380,"Home Plus Own Collection",0,0
11,11708131936500,"Crockeries Yc000522",0,0,"Home Plus Own Collection",0,0
12,11708131937000,"Crockeries Yc000523",1480,2010,"Home Plus Own Collection",0,0
13,11708131937300,"Crockeries Yc000524",0,0,"Home Plus Own Collection",0,0
14,11708131937600,"Crockeries Yc000525",1450,2070,"Home Plus Own Collection",0,0
15,11708131937700,"Crockeries Yc000526",1440,2010,"Home Plus Own Collection",0,0
16,11708131937800,"Crockeries Yc000527",0,0,"Home Plus Own Collection",0,0
17,11708131938100,"Crockeries Yc000528",780,1140,"Home Plus Own Collection",0,0
18,11708131938400,"Crockeries Yc000529",850,1350,"Home Plus Own Collection",0,0
19,11708131938500,"Crockeries Yc000530",650,1140,"Home Plus Own Collection",0,0
20,11708131938600,"Crockeries Yc000531",0,0,"Home Plus Own Collection",0,0
21,11708131952000,"Crockeries YC000591",600,820,"Home Plus Own Collection",0,0
22,11708131952400,"Crockeries YC000592",0,0,"Home Plus Own Collection",0,0
23,11708131952600,"Crockeries YC000593",0,0,"Home Plus Own Collection",0,0
24,11708131952700,"Crockeries YC000594",0,0,"Home Plus Own Collection",0,0
25,11708131952800,"Crockeries YC000595",1150,1740,"Home Plus Own Collection",0,0
26,11708131952900,"Crockeries YC000596",0,0,"Home Plus Own Collection",0,0
27,11708131953000,"Crockeries YC000597",0,0,"Home Plus Own Collection",0,0
28,11708131953200,"Crockeries YC000598",0,0,"Home Plus Own Collection",0,0
29,11708131953400,"Crockeries YC000599",98,145,"Home Plus Own Collection",0,0
30,11708131953600,"Crockeries YC000600",98,145,"Home Plus Own Collection",0,0
31,11708131953900,"Crockeries Yc000601",0,0,"Home Plus Own Collection",0,0
32,11708131954100,"Crockeries YC000602",56,100,"Home Plus Own Collection",0,0
33,11708131954200,"Crockeries YC000603",0,0,"Home Plus Own Collection",0,0
34,11708131954400,"Crockeries YC000604",1150,1680,"Home Plus Own Collection",0,0
35,11708131954600,"Crockeries YC000605",2450,3900,"Home Plus Own Collection",0,0
36,11708131954700,"Crockeries YC000606",2370,3950,"Home Plus Own Collection",0,0
37,11708131955000,"Crockeries YC000607",2650,3900,"Home Plus Own Collection",0,0
38,180119790563,"Haiko Golap Jol 180ml ",16,20,"HAIKO CONSUMER PRODUCT",0,0
39,5000312000687,"Cadbary Drinking Chocolate 500gm",390,480,"Al-Madina Pvt Ltd",0,0
40,8901012188057,"Clean & Clear Strwberry face Wash50 Ml",73,92,"Jhonson and Jhonson Pvt Ltd",0,0
41,11709092119200,"Deshi Mango",140,150,"Home Plus Own Collection",0,0
42,8139003001584,"FLORAL SEPTEX FLOOR CLEANER 1L ",174,195,"ACI Limited",0,0
43,4902430442671,"Gillette Foam Regular 196gm",242.86,272,,0,0
44,11708252079500,"kwality choc bar77 ml ",19.95,25,"kwality ice creem ",0,0
45,11708252079400,"kwality mango ice creem 500ml",83,100,"kwality ice creem ",0,0
46,58-0035,"kwality vanila ice craem 1L",173,200,"kwality ice creem ",0,0
47,7622300473709,"orange tang 750 g",501,535,"SHAJEEB CORPORATION",0,0
48,8941100618196,"Vaseline Total Intensive Care Lotion 200ml",124.18,165,Uniliver,0,0
49,3340442514145,"10 x snickers share pack",190,200,"Al-Madina Pvt Ltd",0,0
50,11709112124300,"15 taka sar Radhuni Chilli Powder 500 gm",178,193,"Square Food and Beverage Ltd",0,0
51,6924336389056,"24k Gold Gel GLow Fairness & Smooth SKin 200g",150,250,"S M International",0,0
52,11710102235000,"28 Rice Loose KG",54,56,"Home Plus Own Collection",0,0
53,841165120659,"2in1 Eclair 175gm",95,125,"Pran Company Ltd",0,0
54,846656007532,"2in1 Eclair 240gm Box",95,120,"Pran Company Ltd",0,0
55,841165120888,"2in1 Eclair 550gm",255,318,"Pran Company Ltd",0,0
56,8941100313466,"7 UP 1L",52.3,60,"KALLOL LTD ",0,0
57,8941100313411,"7up 250ml",15.83,18,"TRANSCOM BEVERAGES LTD",0,0
58,8941100313480,"7up 2ltr",92,100,"TRANSCOM BEVERAGES LTD",0,0
59,8941100313435,"7up 500ml",32,35,"TRANSCOM BEVERAGES LTD",0,0
60,11708142014000,812546159124,0,0,"Teer Oil LTD",0,0
61,11708162043700,"8690604044894erfect coverage liquid concealer n:02 5ml",0,0,"Pearl International",0,0
62,11709152136600,a000250,550,700,,0,0
63,8941101010678,"Aarong  Dairy Sweetend Yogurt 500g ",78,100,"BRAC Dairy   Food Project",0,0
64,8941101010722,"Aarong  Dairy Yogurt 500g",68,75,"BRAC Dairy   Food Project",0,0
65,8941101010012,"Aarong Dairy Ghee 100gm",117,130,"BRAC Dairy   Food Project",0,0
66,8941101010531,"Aarong Dairy Ghee 200gm",220,240,"BRAC Dairy   Food Project",0,0
67,8941101010548,"Aarong Dairy Ghee 400gm",418,450,"BRAC Dairy   Food Project",0,0
68,8941101010555,"Aarong Dairy Ghee 900gm",878,925,"BRAC Dairy   Food Project",0,0
69,8941101010807,"Aarong Dairy MIlk Powder 500gm",237,260,"BRAC Dairy   Food Project",0,0
70,8941101010425,"Aarong Diary Milk Powder 25gm",18,20,"BRAC Dairy   Food Project",0,0
71,8941101010289,"Aarong UHT Milk 500ml",34.8,40,"BRAC Dairy   Food Project",0,0
72,813903000028,"aci aerosel insect spray 350ml",211,240,"ACI Limited",0,0
73,8139003001508,"ACI Aerosol Insect Spray 125 ml",68,99,"ACI Limited",0,0
74,813903000127,"ACI Aerosol Insect Spray 250gm",168,175,"ACI Limited",0,0
75,813903000035,"ACI Aerosol Insect Spray 475 ml",253,290,"ACI Limited",0,0
76,813903000042,"ACI Aerosol Insect Spray 800ml",360,415,"ACI Limited",0,0
77,8139003002192,"Aci Black Fighter Jambo 10 psc",40.5,75,"ACI Limited",0,0
78,815300000083,"Aci Brown atta",36,42,"ACI Foods Ltd",0,0
79,8139003000891,"ACI Cockrosch spray 250ml ",198,220,"ACI Limited",0,0
80,813903000448,"ACI Freedom Cotton Soft (Panty System) 10 p",81,90,"ACI Limited",0,0
81,813903000202,"ACI Hi Booster Small Size Pack",30.9,35,"ACI Limited",0,0
82,8139003000808,"Aci Jumbo Coil 12 Hour ",38,50,"ACI Limited",0,0
83,8153003000491,"ACI Nutrilife Rice Bran Oil 1l",115,133,"ACI Limited",0,0
84,8153003000507,"ACI Nutrilife Rice Bran Oil 2L",215,250,"ACI Limited",0,0
85,8153003000422,"Aci Nutrilife Rice Bran Oil 5L",500,605,"ACI Foods Ltd",0,0
86,8153003000354,"Aci Pure Atta 1kg",29,33,"ACI Foods Ltd",0,0
87,8153003000699,"ACI Pure Fortified Soyabean Oil 5Litre",495,530,"ACI Limited",0,0
88,8153003000378,"ACI Pure Maida 1 KG",39,45,"ACI Foods Ltd",0,0
89,11708121896300,"Aci Pure Maida 1kg",0,0,"ACI Pure Flour Ltd ",0,0
90,815300000007,"ACI Pure Mosur Dal 1KG",120,130,"ACI Limited",0,0
91,815300000205,"ACI Pure Mosur Dal 500gm",60,63,"ACI Limited",0,0
92,8153003000750,"ACI Pure Premium Minicate Rice 5KG",300,360,"ACI Limited",0,0
93,8169003005572,"Aci Pure Premium Minikate Rice 10KG",620,665,"ACI Limited",0,0
94,813163615109,"Aci Pure salt 1kg",34,38,"ACI Foods Ltd",0,0
95,813903000165,"aci pure salt jar135g ",12.5,15,"ACI Limited",0,0
96,8153003000385,"ACI Pure Suji 500gm",25,29,"ACI Limited",0,0
97,8133358131026,"Acme Classic Mango Drinks",16.3,20,"ACME Agrovet and Beverages Ltd",0,0
98,8802548555934,"Acme Classic Mango Drinks 1000 ml",55,65,"ACME Agrovet and Beverages Ltd",0,0
99,+-,"Acme Drinking Water 1.5l",17.2,25,"Akij Food  Beverage LTD",0,0
100,116091200011,"Acme Litchi Flavored Drink 170 ml",7.5,10,"ACME Agrovet and Beverages Ltd",0,0
101,11708101808700,"Acme Orange Drinks 170ml",8.75,10,"ACME Agrovet and Beverages Ltd",0,0
102,8941189504991,"ACME Premium Drinking Water 1 Litre",12,15,"ACME Agrovet and Beverages Ltd",0,0
103,8935006532663,"Acne vitamin cleanser facial wash 50g",197,240,"Rohto-Mentholatum BD LTD",0,0
104,8935006100428,"Acnes Creamy Wash 100gm",287,350,"Rohto-Mentholatum BD LTD",0,0
105,8935006100091,"Acnes Creamy Wash 50g",160,195,"Rohto-Mentholatum BD LTD",0,0
106,8935006533837,"Acnes Oil Control Cleanser",197,240,"Rohto-Mentholatum BD LTD",0,0
107,8935006101074,"Acnes Pure White Face Wash 100gm",280,350,"Rohto-Mentholatum BD LTD",0,0
108,8935006101067,"Acnes Pure White Face Wash 50gm",160,195,"Rohto-Mentholatum BD LTD",0,0
109,8935006100398,"Acnes scar care 12gm",304,370,"Rohto-Mentholatum BD LTD",0,0
110,8935006100404,"Acnes sealing Gel 18g",287,350,"Rohto-Mentholatum BD LTD",0,0
111,8935006100107,"Acnes sealing Gel 9 gm",160,195,"Rohto-Mentholatum BD LTD",0,0
112,89350006100107,"Acnes sealing Gel 9g",0,0,"Rohto-Mentholatum BD LTD",0,0
113,8935006574663,"Acnes Vitamin Cleanser Facial Wash 50g",197,240,"Rohto-Mentholatum BD LTD",0,0
114,8935006100770,"Acnes Vitamin Facial Wash 100g",312,380,"Rohto-Mentholatum BD LTD",0,0
115,8901860420026,"Acron Jol Rong",200,250,Katumia_Sons,0,0
116,8901512541901,"ACT 2 Popcorn 70gm",38.76,50,"Transcom Distribution Company",0,0
117,8901512546104,"Act Pocpon  Butter flavour 70g",41,45,"TRANSCOM  CONSUMER PRODUCT",0,0
118,8901512540102,"Act Pocpon 40g ",18,20," tarnscom bebarage ",0,0
119,8717163572832,"Active De oliva olive oil 200ml",200,260,"Mela International",0,0
120,11708252077500,"Ada Indian Kg",130.75,145,"Home Plus Own Collection",0,0
121,3607340898907,"adidas deo body spray",0,0,,0,0
122,21708091725300,"Adidas Get Ready Body spray 150ml ",0,0,Aponjon,0,0
123,8901157045093,"Aer Petal Crush Pink Spray 300ml",180,220,"Godrej Household Products BD Pvt  L",0,0
124,8901157045116,"Aer Surf Blue Spray 300ml",180,220,"Godrej Household Products BD Pvt  L",0,0
125,8941170031123,"aha cola250 ml",13.91,15,"SHAJEEB CORPORATION",0,0
126,5900525043023,"al cream 100mPerfecta Epilady Chocolate Hair Removl;",1,295,"Rohto-Mentholatum BD LTD",0,0
127,6291106068719,"Al Samou body spray  200 ml",240,325,"BRAND CONNECT",0,0
128,6291003191275,"Alfa Mayonnaise 473ml",128,180,"Al-Madina Pvt Ltd",0,0
129,62911003191022,"Alfa Mayonnaise 946 ml",0,0,"Al-Madina Pvt Ltd",0,0
130,6291003191022,"Alfa Mayonnaise 946ml",175,250,"Al-Madina Pvt Ltd",0,0
131,841165106776,"All time cake 90gm",25,30,"Pran Company Ltd",0,0
132,846656004371,"All Time Cookies Biscuit",0,0,"Pran Company Ltd",0,0
133,846656002315,"All time cookies``",120,140,"Al-Madina Pvt Ltd",0,0
134,841165118823,"All Time Dny Cake Biscuit",0,0,"Pran Company Ltd",0,0
135,846656004081,"All Time Family Cake",20,25,"Pran Company Ltd",0,0
136,841165106684,"All TIme Ghee toast ",21,25,"Pran Company Ltd",0,0
137,846656004548,"All Time Honey Comb",10,12,"Pran Company Ltd",0,0
138,846656014011,"All Time Milk Bread",30,35,"Pran Company Ltd",0,0
139,846656009048,"all time Pie Cake vanila ",8,10,"Pran Company Ltd",0,0
140,841165111480,"All Time Rusk Biscuit 300 gm ",50,60,"Pran Company Ltd",0,0
141,846656005347,"All Time Ruti Open & Eat 240g",21,25,"Pran Company Ltd",0,0
142,841165103942,"All Time saltino Cokies Biscuit ",8.5,10,"Pran Company Ltd",0,0
143,831730008918,"All time sanduice Bread 60tk",52,60,"Pran Company Ltd",0,0
144,831730008314,"All Time Sandwich Bread 325gm",26,30,"Pran Company Ltd",0,0
145,84116511727,"All time Tost Biscuit 800g",92,110,"Pran Company Ltd",0,0
146,5017848251056,"Almond Oill B P 70ml",150,180,"UNION BD CONSUMER LTD",0,0
147,8806182509728,"Aloe Vera Gel  Whiting anti Acne 200g",150,250,"S M International",0,0
148,11710282277200,"Aloe Vera Thai Pcs",25,40,"Home Plus Own Collection",0,0
149,11709282213700,"Aloevera Face Wash 50ml",105,150,"S M International",0,0
150,8944000196726,"alpenlibe just Jelly snack pack",16.52,20,"COCOLA FOOD PRODUCTS LTD",0,0
151,11708262087600,"Alpenlibe Lolipop",0,0,,0,0
152,8944000196917,"Alpenliebe POP",3,5,,0,0
153,8944000196887,"Alpenliee Smooth  75 pcs",60,75,,0,0
154,11708262085600,Alu,15.3,20,,0,0
155,11708242075900,"Alu bokhara 50gm",0,0,"Home Plus Own Collection",0,0
156,11709102120300,"Alu bokhara kg",520,800,"Home Plus Own Collection",0,0
157,8139003001140,"AMAZONIA  AIR FRESHENER 300ML",178,200,"ACI Limited",0,0
158,6291106068764,"Ambre Bleu Body Spray 200ml",240,325,"BRAND CONNECT",0,0
159,025929154825,"America Body Spray Black for Woman 150ml",200,260,"Banijjo international",0,0
160,025929154801,"America Body Spray Pink for Woman 150ml",200,260,"Banijjo international",0,0
161,025929154863,"America Body Spray Red for Woman 150ml",200,260,"Banijjo international",0,0
162,025929154849,"America Body Spray White for Woman 150ml",200,260,"Banijjo international",0,0
163,025929152302,"America Colours Body Spray 150ml",198.85,260,"Banijjo international",0,0
164,025929151206,"America Musk B.Spray",175,260,"Banijjo international",0,0
165,717273501577,"American Garden BBQ Sauce 510gm",265,370,"Al-Madina Pvt Ltd",0,0
166,841165114122,"Amros mango bar ",5.9,7,"Pran Company Ltd",0,0
167,11708252077800,"Anar (Bedana) KG",200,200,"Home Plus Own Collection",0,0
168,11708212070600,"Anchor Dal kg",31,35,"Home Plus Own Collection",0,0
169,8850851701715,"Angel  Food Feeder 140ml",150,188,"Angel Yellow Care LTD",0,0
170,8850851534085,"Angel Amazing glow L size 240ml",202.5,270,"Angel Yellow Care LTD",0,0
171,8850851532654,"Angel anti colic niple 120ml",155,195,"Angel Yellow Care LTD",0,0
172,8850851532623,"Angel anti colic nipple 120ml",155,195,"Angel Yellow Care LTD",0,0
173,8850851532579,"Angel anti colic nipple130+",150,188,"Angel Yellow Care LTD",0,0
174,8850851535372,"Angel anti colic nipple150ml",200,250,"Angel Yellow Care LTD",0,0
175,831176110145♪,"Angel Avec Poigent 250ml",0,0,"Angel Yellow Care LTD",0,0
176,8850851700619,"Angel baby mosquito net (m)",560,756,"Angel Yellow Care LTD",0,0
177,8850851700626,"Angel baby mosqutio net",600,810,"Angel Yellow Care LTD",0,0
178,8850851700336,"Angel Bottle Brush ",130,163,"Angel Yellow Care LTD",0,0
179,8850851700329,"Angel Bottle Brush 02",120,150,"Angel Yellow Care LTD",0,0
180,8850851701050,"Angel Breast Pump",180,225,"Angel Yellow Care LTD",0,0
181,831177120662,"Angel Cereal Feeder Bottle ",219,250,"Angel Yellow Care LTD",0,0
182,8850851702170,"Angel D Drinking Cup",150,200,"Angel Yellow Care LTD",0,0
183,8850851700404,"Angel Double Handle",160,220,"Angel Yellow Care LTD",0,0
184,8850851702187,"Angel Drinking Cup",150,200,"Angel Yellow Care LTD",0,0
185,831177120464,"Angel Feeding Bottle O+",120,160,"Angel Yellow Care LTD",0,0
186,831177120471,"Angel Feeding Bottle O1",120,160,"Angel Yellow Care LTD",0,0
187,8850851532562,"Angel L Anti Colic Nipple 250ml",160,200,"Angel Yellow Care LTD",0,0
188,8850851534085♪,"Angel L Anti Colic Nipple 6+",0,0,"Angel Yellow Care LTD",0,0
189,8850851110029,"Angel L size 240ml",180,213,"Angel Yellow Care LTD",0,0
190,831177120518,"Angel L size 250ml",150,200,"Q  Q TRADING LTD",0,0
191,8850851532647,"Angel L size Anti-colic Nipple",161.25,215,"Angel Yellow Care LTD",0,0
192,8850851700428,"Angel Liquid Cleanser 300ml",187.5,250,"Angel Yellow Care LTD",0,0
193,8850851700398,"Angel Lovely Day ",0,0,"Angel Yellow Care LTD",0,0
194,8850851534092,"Angel M Anti Colic Nipple 3+",190,238,"Angel Yellow Care LTD",0,0
195,8850851110012,"Angel M size Anti-Coic Nipple",160,200,"Angel Yellow Care LTD",0,0
196,8850851510256,"Angel pacifier 6+",120,150,"Angel Yellow Care LTD",0,0
197,8850851700275,"Angel Powder Puff ",168,225,"Angel Yellow Care LTD",0,0
198,8850851700237,"Angel Power Puff with Sound",188,250,"Angel Yellow Care LTD",0,0
199,8850851535365,"Angel Rattle hood 240 ml",220,275,"Angel Yellow Care LTD",0,0
200,8850851532920,"Angel S Size Anti-Colic Nipple",140,175,"Angel Yellow Care LTD",0,0
201,8850851511246,"Angel Silicone L size",25.84,35,"Angel Yellow Care LTD",0,0
202,8850851511239,"Angel Silicone Nipple M size",25.84,35,"Angel Yellow Care LTD",0,0
203,8850851511222,"Angel Silicone Nipple S size",25.84,35,"Angel Yellow Care LTD",0,0
204,8850851700855,"Angel Step Trining Cup DCA04S2",220,286,"Angel Yellow Care LTD",0,0
205,8850851532630,"Angel StonyShape Bottle RBA-2C2",140,175,"Angel Yellow Care LTD",0,0
206,8850851700015,"Angel Water-Filled Teether",85,125,"Angel Yellow Care LTD",0,0
207,8850851701814,"Angel you are ",160,200,"Angel Yellow Care LTD",0,0
208,8139003000860,"ANGELIC FRESH AIR FRESHENER 300ML",178,200,"ACI Limited",0,0
209,8850851700411,"Angell Liquid Cleanser 500ml",206.25,275,"Angel Yellow Care LTD",0,0
210,8809340490852,"Angeur Baby wet Tissue 80 OH",165,215,,0,0
211,11708252078100,"Angur Lal Kg",225,250,"Home Plus Own Collection",0,0
212,8139003001133,"ANTI TABAC AIR FRESHENER 300ML",178,200,"ACI Limited",0,0
213,8941101010173,"aorong dairy chocolate 250ml",27,30,"BRAC Dairy   Food Project",0,0
214,11710182253400,"apon ada gura 35 g",65,65,Aponjon,0,0
215,11710172252000,"Apon baio Energy Card",450,450,Aponjon,0,0
216,8941104000911,"Apon Beef  Masala 100g",98,98,Aponjon,0,0
217,11709192146600,"Apon black seed fry powder ",0,0,Aponjon,0,0
218,21708091733000,"Apon Black Seed Fry Powder 50g",90,90,Aponjon,0,0
219,21708091732800,"Apon Chicken Masala 100g",105,105,Aponjon,0,0
220,11708152022000,"Apon chicken masala 100gm",0,0,Aponjon,0,0
221,2021900,"Apon chilli powder 200gm",72,72,Aponjon,0,0
222,2021800,"Apon coriander powder 200gm",66,66,Aponjon,0,0
223,21708091732700,"Apon Ginger Powder 35g",0,0,Aponjon,0,0
224,11709042110400,"AponJon Aloe Vera Face Wash 50gm",170,170,Aponjon,0,0
225,21709102122500,"Aponjon Aloe Vera Face Wash 50ml",170,170,,0,0
226,21708252080800,"Aponjon Anti Radiation Chip",425,425,,0,0
227,11708262087500,"Aponjon Beef Masala 100gm",98,105,,0,0
228,11709272202300,"Aponjon Fat Reducer 200g",0,0,Aponjon,0,0
229,21708091728800,"Aponjon Masala Package",730,730,Aponjon,0,0
230,11708212071400,"Aponjon Moshla Package",0,0,Aponjon,0,0
231,21708091731800,"Aponjon Spirulina 200gm",435,435,Aponjon,0,0
232,11708302097400,"Apple Austrilian",136,150,"Home Plus Own Collection",0,0
233,11710182253200,"Apple china los kg",100,125,"HOME BRAND",0,0
234,11709232158300,"Apple Deshi KG",92,125,"Home Plus Own Collection",0,0
235,11708212070400,"Apple Gala ",130,150,"Home Plus Own Collection",0,0
236,8885009979708,"Aqua Bleu Eau De Toilette Parfum 100ml",620,810,"Banijjo international",0,0
237,6085010041568,"Araf Edition One For men Body Spraay 200ml ",280,350,"Pearl International",0,0
238,8941169000086,"Arku Chanachor 150g",18.33,25,"Lalmai Grop of company",0,0
239,8869547050105,"Arku Chilli Powder 100g",28.5,86,"Lalmai Grop of company",0,0
240,8869547050204,"Arku Chilli Powder 200g",53.5,80,"Lalmai Grop of company",0,0
241,88695547172005,"Arku Pure Mustard Oil 200ml",37.91,55,"Lalmai Grop of company",0,0
242,8869547175501,"Arku Pure Mustard Oil 500 ML",86,110,"Lalmai Grop of company",0,0
243,8869547080058,"Arku Shai Beef Masala 255g",12.65,18,"Lalmai Grop of company",0,0
244,1709292215300,"Arku Shai Chiken masala 20g",10.85,15,"Lalmai Grop of company",0,0
245,8869547085053,"Arku shai Fish Masla 20g",7.85,10,"Lalmai Grop of company",0,0
246,8941169005531,"Arku Tost biscuit 350g",39.16,50,"Lalmai Grop of company",0,0
247,8869547055100,"Arku Turmeric Powder 100g",30.25,42,"Lalmai Grop of company",0,0
248,8869547055209,"Arku Turmeric Powder 200g",57.91,75,"Lalmai Grop of company",0,0
249,5711953052477,"Arla Dano Daily 1KG",330,370,"Arla Food BD LTD",0,0
250,5760466984188,"Arla Dano Full Cream Milk Powder 1KG",570,600,"Arla Food BD LTD",0,0
251,5760466984201,"Arla Dano Full Cream Milk Powder 500gm",292,310,"Arla Food BD LTD",0,0
252,6085010094335,"Armaf  club de nuit body spray 150ml",280,350,"Pearl International",0,0
253,6085010041704,"Armaf Blue Homme for Men Body Spray 200ml",280,350,"Pearl International",0,0
254,6085010041902,"Armaf C.D.N intense for Women Body Spray 200ml",280,350,"Pearl International",0,0
255,6294015102413,"Armaf C.D.N intense Men Body Spray 200ml",280,350,"Pearl International",0,0
256,6294015102345,"Armaf Enchanted Bloom 300ml",235,260,"Glo Brands",0,0
257,6294015102390,"Armaf Enchanted Ovintage Air Freshener 300ml",235,260,"Glo Brands",0,0
258,6294015102369,"Armaf enchanted Romance ",235,260,"Glo Brands",0,0
259,6294015102376,"Armaf Enchanted Spring 300ml",235,260,"Glo Brands",0,0
260,6085010092515,"Armaf High Street For Women Body Spray 200ml",280,350,"Pearl International",0,0
261,8941101010609,"Arong Butter100gm",82,90,"BRAC Dairy   Food Project",0,0
262,8941101010616,"Arong Butter200gm",153,162,"BRAC Dairy   Food Project",0,0
263,11709102121000,"Arrarot (Khabar Soda) Kg",55,70,"Home Plus Own Collection",0,0
264,7622300473723,"artifical colors mango tang750g",519,555,"SHAJEEB CORPORATION",0,0
265,11709142132900,"Ashiq bsm ",1,1,"HOME BRAND",0,0
266,11708282093100,"Ata Loose Kg",24,28,,0,0
267,11708131971000,"Aunti OF000416",160,290,"Home Plus Own Collection",0,0
268,8906053740196,"Aveon Aqua Sea Face Wash 60ml",70,110,"Devine corporation Ltd",0,0
269,11708101783500,"Aveon Hair Serum Super Shining Hair 50ml",0,0,"Devine corporation Ltd",0,0
270,8906053740066,"Aveon Neam & Tulshi 75gm",48,60,"Devine corporation Ltd",0,0
271,8906053740233,"Aveon Neem Tulsi Face Wash 60ml",60,110,"Devine corporation Ltd",0,0
272,8906053740516,"AVEON Nutricare Hair Oil Almond Nutritive oils (Hair Damage ",90,110,"Devine corporation Ltd",0,0
273,8906053740523,"AVEON Nutricare Hairj Oil 100ml",95,110,"Devine corporation Ltd",0,0
274,8906053740103,"Aveon Saffron Milk & Honey 75gm",42,60,"Devine corporation Ltd",0,0
275,11708131915300,Avera,0,0,,0,0
276,11708131914100,"Average Product  SM000352",260,450,"Home Plus Own Collection",0,0
277,11708131921100,"Average Product SM000301",390,600,"Home Plus Own Collection",0,0
278,11708131921200,"Average Product SM000302",290,490,"Home Plus Own Collection",0,0
279,11708131921500,"Average Product SM000303",168,280,"Home Plus Own Collection",0,0
280,11708131921600,"Average Product SM000304",700,1250,"Home Plus Own Collection",0,0
281,11708131921700,"Average Product SM000305",1015,1450,"Home Plus Own Collection",0,0
282,11708131921900,"Average Product SM000306",1085,1550,"Home Plus Own Collection",0,0
283,11708131922000,"Average Product SM000307",750,1250,"Home Plus Own Collection",0,0
284,11708131922100,"Average Product SM000308",870,1450,"Home Plus Own Collection",0,0
285,11708131922300,"Average Product SM000309",530,1050,"Home Plus Own Collection",0,0
286,11708131922600,"Average Product SM000310",600,850,"Home Plus Own Collection",0,0
287,11708131922700,"Average Product SM000311",750,950,"Home Plus Own Collection",0,0
288,11708131922900,"Average Product SM000312",600,850,"Home Plus Own Collection",0,0
289,11708131923200,"Average Product SM000313",500,790,"Home Plus Own Collection",0,0
290,11708131923300,"Average Product SM000314",710,1250,"Home Plus Own Collection",0,0
291,11708131923400,"Average Product SM000315",850,1250,"Home Plus Own Collection",0,0
292,11708131924100,"Average Product SM000316",880,1150,"Home Plus Own Collection",0,0
293,11708131924200,"Average Product SM000317",650,790,"Home Plus Own Collection",0,0
294,11708131924300,"Average Product SM000318",0,0,"Home Plus Own Collection",0,0
295,11708131924400,"Average Product SM000319",250,450,"Home Plus Own Collection",0,0
296,11708131924600,"Average Product SM000320",200,390,"Home Plus Own Collection",0,0
297,11708131924700,"Average Product SM000321",160,290,"Home Plus Own Collection",0,0
298,11708131924800,"Average Product SM000322",190,350,"Home Plus Own Collection",0,0
299,11708131925000,"Average Product SM000323",260,390,"Home Plus Own Collection",0,0
300,11708131925100,"Average Product SM000324",240,360,"Home Plus Own Collection",0,0
301,11708131925300,"Average Product SM000325",200,320,"Home Plus Own Collection",0,0
302,11708131925400,"Average Product SM000326",240,360,"Home Plus Own Collection",0,0
303,11708131925600,"Average Product SM000327",280,420,"Home Plus Own Collection",0,0
304,11708131925700,"Average Product SM000328",260,390,"Home Plus Own Collection",0,0
305,11708131925900,"Average Product SM000329",260,390,"Home Plus Own Collection",0,0
306,5,"Average Product SM000330",150,230,"Home Plus Own Collection",0,0
307,11708131926100,"Average Product SM000331",260,450,"Home Plus Own Collection",0,0
308,11708131926300,"Average Product SM000332",300,490,"Home Plus Own Collection",0,0
309,11708131926400,"Average Product SM000333",300,490,"Home Plus Own Collection",0,0
310,11708131926600,"Average Product SM000334",220,390,"Home Plus Own Collection",0,0
311,11708131926700,"Average Product SM000335",275,420,"Home Plus Own Collection",0,0
312,11708131926800,"Average Product SM000336",250,450,"Home Plus Own Collection",0,0
313,11708131927000,"Average Product SM000337",150,250,"Home Plus Own Collection",0,0
314,11708131927100,"Average Product SM000338",140,250,"Home Plus Own Collection",0,0
315,11708131927200,"Average Product SM000339",250,400,"Home Plus Own Collection",0,0
316,11708131927300,"Average Product SM000340",100,200,"Home Plus Own Collection",0,0
317,11708131927400,"Average Product SM000341",140,250,"Home Plus Own Collection",0,0
318,11708131927600,"Average Product SM000342",120,230,"Home Plus Own Collection",0,0
319,11708131927700,"Average Product SM000343",150,290,"Home Plus Own Collection",0,0
320,11708131927800,"Average Product SM000344",150,260,"Home Plus Own Collection",0,0
321,11708131927900,"Average Product SM000345",280,490,"Home Plus Own Collection",0,0
322,11708131928100,"Average Product SM000346",250,450,"Home Plus Own Collection",0,0
323,11708131928300,"Average Product SM000347",270,470,"Home Plus Own Collection",0,0
324,11708131928500,"Average Product SM000348",150,250,"Home Plus Own Collection",0,0
325,11708131928600,"Average Product SM000349",120,230,"Home Plus Own Collection",0,0
326,11708131928800,"Average Product SM000350",215,220,"Home Plus Own Collection",0,0
327,11708131928900,"Average Product SM000351",125,225,"Home Plus Own Collection",0,0
