"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1,8941100502068,"Meril Milk Soap Bar 150gm","SQUARE TOILETRIES LIMITED","Personal Care",38.61,42,"Personal Care",0,14.7
2,8941100501726,"Meril Milk Soap Bar 100gm","SQUARE TOILETRIES LIMITED","Personal Care",28.77,34,"Personal Care",0,12
3,8941100501726,"Meril Milk Soap Bar 100gm","SQUARE TOILETRIES LIMITED","Personal Care",28.77,34,"Personal Care",0,17
4,8941100500187,"Meril Milk & Kiwi Soap Bar 100gm","SQUARE TOILETRIES LIMITED","Personal Care",28.78,34,"Personal Care",0,12
5,21708091725300,"Adidas Get Ready Body Spray 150ml ",Aponjon,"Personal Care",74,90,"Personal Care",0,2.5
6,21708091725700,"Ever Green Multi Action Beauty Bar 100g",Aponjon,"Personal Care",329,329,"Personal Care",0,5
7,8906053740066,"Aveon Neam & Tulshi 75gm","Devine corporation Ltd","Personal Care",45,60,"Personal Care",0,7
8,21708091729400,"Ever Green Multi Action Beauty Bar 30g",Aponjon,"Personal Care",120,120,"Personal Care",0,9
9,8901023006241,"Cinthol Confidance+ 100gm","Godrej Household Products BD Pvt  L","Personal Care",29.64,38,"Personal Care",0,4
10,8901023009990,"Cinthol Lime Soap 100gm","Godrej Household Products BD Pvt  L","Personal Care",28,38,"Personal Care",0,4
11,21708091730000,"Swarnali Amalaki Tea 45g",Aponjon,"Bevarage And  Tobaco",250,250,"Bevarage And  Tobaco",0,1
12,8513692165404,"Sandalina Soap 125gm","Kohinoor Chemical company Ltd","Personal Care",34.92,42,"Personal Care",0,35
13,8941100648643,"Lux Velvet Touch 150gm",Uniliver,"Personal Care",40.2,45,"Personal Care",0,9
14,8941100650004,"Lux Soft Touch 150gm",Uniliver,"Personal Care",41.38,45,"Personal Care",0,28
15,21708091730600,"Mitali Glucose-D 200g",Aponjon,"Bevarage And  Tobaco",80,80,"Bevarage And  Tobaco",0,2
16,21708091730700,"Mitali Glucose-D 100g",Aponjon,"Bevarage And  Tobaco",45,45,"Bevarage And  Tobaco",0,1
17,8941100650042,"Lux Velvet Touch 100gm",Uniliver,"Personal Care",31.17,34,"Personal Care",0,8
18,8941100650059,"Lux Soft Touch 100gm",Uniliver,"Personal Care",31.17,34,"Personal Care",0,10
19,8941100650059,"Lux Soft Touch 100gm",Uniliver,"Personal Care",31.17,34,"Personal Care",0,49
20,088021513051,"Jasmine Soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",40,45,"Personal Care",0,6
21,088021512856,"Cute Rose Soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",39,45,"Personal Care",0,7
